Date,Price (USD),Running Average,Type
2025-06-01,21.0802,22.9301,Historical
2025-06-02,21.6544,22.9218,Historical
2025-06-03,21.5868,22.9131,Historical
2025-06-04,21.5685,22.9044,Historical
2025-06-05,19.8698,22.8850,Historical
2025-06-06,20.1599,22.8676,Historical
2025-06-07,20.8869,22.8551,Historical
2025-06-08,20.7236,22.8417,Historical
2025-06-09,21.9737,22.8362,Historical
2025-06-10,23.7102,22.8417,Historical
2025-06-11,22.6058,22.8402,Historical
2025-06-12,21.1786,22.8300,Historical
2025-06-13,20.4305,22.8154,Historical
2025-06-14,20.2233,22.7997,Historical
2025-06-15,20.4461,22.7855,Historical
2025-06-16,20.5556,22.7721,Historical
2025-06-17,19.9120,22.7551,Historical
2025-06-18,19.9165,22.7383,Historical
2025-06-19,19.7951,22.7210,Historical
2025-06-20,18.7026,22.6975,Historical
2025-06-21,17.3957,22.6667,Historical
2025-06-22,17.0132,22.6340,Historical
2025-06-23,18.8237,22.6121,Historical
2025-06-24,18.9457,22.5912,Historical
2025-06-25,18.5062,22.5680,Historical
2025-06-26,18.2564,22.5436,Historical
2025-06-27,18.5028,22.5209,Historical
2025-06-28,18.6421,22.4992,Historical
2025-06-29,19.3524,22.4817,Historical
2025-06-30,18.8475,22.4617,Historical
